num,type,X_position,Y_position,Structure,INS Normalized Expression
1,Alpha Cell Enriched Islet,32691,22669,0.927477985,184646.3952
1,Beta Cell Enriched Islet,32691,22669,2.008035465,305913.9469
2,Alpha Cell Enriched Islet,37055,20966,0.964874185,147816.5172
2,Beta Cell Enriched Islet,37055,20966,2.23024843,389954.0164
3,Alpha Cell Enriched Islet,25922,25794,1.249032078,137977.1005
3,Beta Cell Enriched Islet,25922,25794,1.752249492,373191.4937
6,Alpha Cell Enriched Islet,31201,35047,0.987739217,139860.4364
6,Beta Cell Enriched Islet,31201,35047,1.784860495,396106.5068
7,Islet,8458,23203,3.86540859,293373.0451
8,Islet,18784,32494,4.162749377,199042.6902
9,Alpha Cell Enriched Islet,19664,29115,0.861806723,96956.78137
9,Beta Cell Enriched Islet,19664,29115,1.93905354,326287.6198
10,Islet,29907,39939,3.940566466,213149.7936
11,Alpha Cell Enriched Islet,29574,25037,1.051247071,127943.3998
11,Beta Cell Enriched Islet,29574,25037,1.912235251,357024.7958
12,Islet,29188,23352,3.867786317,202170.6778
13,Acini cells,9844.594727,28596.96289,5.056619095,2384.294836
13,Duct,9844.594727,28596.96289,3.049347122,419.1336179
14,Acini cells,19052.48633,23237.59766,4.947005477,2036.445876
14,Duct,19052.48633,23237.59766,3.217761985,1128.246719
15,Acini cells,27335.07813,25242.72656,4.823222599,638.2314973
15,Duct,27335.07813,25242.72656,3.176756975,289.3281655
16,Acini cells,34575.63672,24803.63281,4.798363651,407.2582822
16,Duct,34575.63672,24803.63281,2.97112319,364.5616809
17,Acini cells,17098.41797,31728.69727,4.873813312,4667.87592
17,Duct,17098.41797,31728.69727,3.002365117,499.7855885
18,Acini cells,17149.20898,22409.8418,4.968166583,346.7013738
18,Duct,17149.20898,22409.8418,3.210639521,119.4103973
19,Acinus (Acini and duct),12140.99316,29299.33203,5.923110081,1670.06529
20,Acinus (Acini and duct),23596.11133,30551.99023,6.106258059,225.0861165
21,Acinus (Acini and duct),15987.93555,35609.14844,5.875784298,643.9060448
22,Acinus (Acini and duct),23087.06445,22845.96484,6.142107996,925.1032817
23,Acinus (Acini and duct),29819.83594,10980.58984,6.004870043,2574.045079
24,Acinus (Acini and duct),10720.56934,32007.32617,5.957028798,812.8337829
