num,type,X_position,Y_position,Structure,CFTR Normalized Expression
1,Alpha Cell Enriched Islet,32691,22669,1.152577325,49.04658924
1,Beta Cell Enriched Islet,32691,22669,2.004122024,58.57564086
2,Alpha Cell Enriched Islet,37055,20966,0.808806103,35.5003884
2,Beta Cell Enriched Islet,37055,20966,2.087677767,23.6669256
3,Alpha Cell Enriched Islet,25922,25794,1.198324881,54.86423662
3,Beta Cell Enriched Islet,25922,25794,2.04452356,53.2505826
6,Alpha Cell Enriched Islet,31201,35047,1.234707858,62.1256797
6,Beta Cell Enriched Islet,31201,35047,1.945830555,20.48099331
7,Islet,8458,23203,3.816324212,132.4770592
8,Islet,18784,32494,4.055314044,106.5011652
9,Alpha Cell Enriched Islet,19664,29115,1.158875227,21.92671048
9,Beta Cell Enriched Islet,19664,29115,2.100052051,78.10085448
10,Islet,29907,39939,4.190998891,131.0783572
11,Alpha Cell Enriched Islet,29574,25037,0.831918143,57.68813115
11,Beta Cell Enriched Islet,29574,25037,1.903061113,75.17729308
12,Islet,29188,23352,3.968188541,116.1830893
13,Acini cells,9844.594727,28596.96289,4.934978268,183.3816938
13,Duct,9844.594727,28596.96289,2.836357582,2102.539132
14,Acini cells,19052.48633,23237.59766,4.990889074,179.9750028
14,Duct,19052.48633,23237.59766,2.886696061,2053.475592
15,Acini cells,27335.07813,25242.72656,4.881269651,213.5193263
15,Duct,27335.07813,25242.72656,2.99997471,2089.197857
16,Acini cells,34575.63672,24803.63281,4.795543452,226.5866627
16,Duct,34575.63672,24803.63281,2.781873117,1765.461623
17,Acini cells,17098.41797,31728.69727,5.038657201,246.8021014
17,Duct,17098.41797,31728.69727,3.150683621,703.1643196
18,Acini cells,17149.20898,22409.8418,4.751178951,233.3291657
18,Duct,17149.20898,22409.8418,3.157390626,2049.340603
19,Acinus (Acini and duct),12140.99316,29299.33203,6.191566405,509.0560282
20,Acinus (Acini and duct),23596.11133,30551.99023,5.978046383,414.9449244
21,Acinus (Acini and duct),15987.93555,35609.14844,6.182487733,403.8524184
22,Acinus (Acini and duct),23087.06445,22845.96484,5.886729973,525.7239122
23,Acinus (Acini and duct),29819.83594,10980.58984,6.094423422,318.9029251
24,Acinus (Acini and duct),10720.56934,32007.32617,6.037964798,492.1573669
