num,type,X_position,Y_position,Structure,GCG Normalized Expression
1,Alpha Cell Enriched Islet,32691,22669,0.877965702,67189.62326
1,Beta Cell Enriched Islet,32691,22669,2.009827905,12418.03586
2,Alpha Cell Enriched Islet,37055,20966,0.918817811,52909.77887
2,Beta Cell Enriched Islet,37055,20966,2.136751607,14211.98882
3,Alpha Cell Enriched Islet,25922,25794,1.07119271,68367.29344
3,Beta Cell Enriched Islet,25922,25794,2.196537365,12947.4988
6,Alpha Cell Enriched Islet,31201,35047,1.094250103,93197.39465
6,Beta Cell Enriched Islet,31201,35047,2.170208265,16773.93352
7,Islet,8458,23203,4.023736554,22245.75558
8,Islet,18784,32494,3.843650872,61636.21809
9,Alpha Cell Enriched Islet,19664,29115,0.933030999,80790.53097
9,Beta Cell Enriched Islet,19664,29115,2.130741005,23920.1617
10,Islet,29907,39939,3.871416131,42334.21317
11,Alpha Cell Enriched Islet,29574,25037,1.137001257,72811.29661
11,Beta Cell Enriched Islet,29574,25037,2.103732123,20374.61262
12,Islet,29188,23352,3.881856478,39709.20149
13,Acini cells,9844.594727,28596.96289,4.775470778,194.6974426
13,Duct,9844.594727,28596.96289,2.769462132,91.04131864
14,Acini cells,19052.48633,23237.59766,4.865535253,38.53188224
14,Duct,19052.48633,23237.59766,2.945463216,23.29712989
15,Acini cells,27335.07813,25242.72656,4.779975263,55.06006842
15,Duct,27335.07813,25242.72656,2.830472889,42.60046608
16,Acini cells,34575.63672,24803.63281,4.80654853,52.16383602
16,Duct,34575.63672,24803.63281,2.880965595,32.76958929
17,Acini cells,17098.41797,31728.69727,4.827899399,599.4676365
17,Duct,17098.41797,31728.69727,3.092624428,76.98879412
18,Acini cells,17149.20898,22409.8418,5.141576771,87.89209064
18,Duct,17149.20898,22409.8418,3.119920952,56.47789064
19,Acinus (Acini and duct),12140.99316,29299.33203,5.978800882,61.31145061
20,Acinus (Acini and duct),23596.11133,30551.99023,5.752155489,65.33436865
21,Acinus (Acini and duct),15987.93555,35609.14844,6.042645311,97.34206499
22,Acinus (Acini and duct),23087.06445,22845.96484,6.000577679,68.82386619
23,Acinus (Acini and duct),29819.83594,10980.58984,6.171699916,36.43460915
24,Acinus (Acini and duct),10720.56934,32007.32617,5.847939451,105.5628289
